# x	V
-10.0000000000 242.8644404237
-9.8000000000 234.2583971973
-9.6000000000 225.7875126018
-9.4000000000 217.4529395127
-9.2000000000 209.2558308053
-9.0000000000 201.1973393547
-8.8000000000 193.2786180364
-8.6000000000 185.5008197257
-8.4000000000 177.8650972979
-8.2000000000 170.3726036282
-8.0000000000 163.0244915921
-7.8000000000 155.8219140647
-7.6000000000 148.7660239215
-7.4000000000 141.8579740377
-7.2000000000 135.0989172886
-7.0000000000 128.4900065496
-6.8000000000 122.0323946960
-6.6000000000 115.7272346030
-6.4000000000 109.5756791461
-6.2000000000 103.5788812004
-6.0000000000 97.7379936414
-5.8000000000 92.0541693443
-5.6000000000 86.5285611844
-5.4000000000 81.1623220371
-5.2000000000 75.9566047776
-5.0000000000 70.9125622814
-4.8000000000 66.0313474236
-4.6000000000 61.3141130796
-4.4000000000 56.7620121247
-4.2000000000 52.3761974342
-4.0000000000 48.1578218835
-3.8000000000 44.1080383478
-3.6000000000 40.2279997025
-3.4000000000 36.5188588228
-3.2000000000 32.9817685841
-3.0000000000 29.6178818617
-2.8000000000 26.4283515309
-2.6000000000 23.4143304671
-2.4000000000 20.5769715454
-2.2000000000 17.9174276413
-2.0000000000 15.4368516301
-1.8000000000 13.1363963870
-1.6000000000 11.0172147873
-1.4000000000 9.0804597065
-1.2000000000 7.3272840198
-1.0000000000 5.7588406025
-0.8000000000 4.3762823298
-0.6000000000 3.1807620773
-0.4000000000 2.1734327200
-0.2000000000 1.3554471335
0.0000000000 0.7279581929
0.2000000000 0.2921187736
0.4000000000 0.0490817508
0.6000000000 0.0000000000
0.8000000000 0.1460263964
1.0000000000 0.4883138153
1.2000000000 1.0280151321
1.4000000000 1.7662832220
1.6000000000 2.7042709603
1.8000000000 3.8431312225
2.0000000000 5.1840168837
2.2000000000 6.7280808193
2.4000000000 8.4764759047
2.6000000000 10.4303550150
2.8000000000 12.5908710257
3.0000000000 14.9591768120
3.2000000000 17.5364252493
3.4000000000 20.3237692129
3.6000000000 23.3223615780
3.8000000000 26.5333552201
4.0000000000 29.9579030143
4.2000000000 33.5971578360
4.4000000000 37.4522725606
4.6000000000 41.5244000633
4.8000000000 45.8146932195
5.0000000000 50.3243049044
5.2000000000 55.0543879934
5.4000000000 60.0060953618
5.6000000000 65.1805798849
5.8000000000 70.5789944380
6.0000000000 76.2024918964
6.2000000000 82.0522251355
6.4000000000 88.1293470304
6.6000000000 94.4350104567
6.8000000000 100.9703682895
7.0000000000 107.7365734042
7.2000000000 114.7347786761
7.4000000000 121.9661369805
7.6000000000 129.4318011927
7.8000000000 137.1329241880
8.0000000000 145.0706588418
8.2000000000 153.2461580293
8.4000000000 161.6605746259
8.6000000000 170.3150615069
8.8000000000 179.2107715475
9.0000000000 188.3488576232
9.2000000000 197.7304726091
9.4000000000 207.3567693807
9.6000000000 217.2289008132
9.8000000000 227.3480197819
10.0000000000 237.7152791622
